Acoustic Bass
Acoustic Grand Piano
Acoustic Nylon Guitar
Acoustic Steel Guitar
Alto Sax
Bagpipe
Banjo
Baritone Sax
Bass Lead
Bassoon
Bottle Blow
Bowed Pad
Brass Section
Bright Acoustic Piano
Calliope Lead
Cello
Charang Lead
Chiff Lead
Choir Pad
Chorused Piano
Church Organ
Clarinet
Clavinet
Contrabass
Distortion Guitar
Dulcimer
Electric Clean Guitar
Electric Grand Piano
Electric Jazz Guitar
Electric Muted Guitar
English Horn
Fiddle
Fingered Electric Bass
Flute
French Horn
Fretless Bass
Halo Pad
Hammond Organ
Harpsichord
Honky-tonk Piano
Kalimba
Koto
Marimba
Metallic Pad
Music Box
Muted Trumpet
New Age Pad
Oboe
Ocarina
Orchestral Harp
Overdriven Guitar
Pan Flute
Percussive Organ
Piccolo
Pizzicato Strings
Plucked Electric Bass
Polysynth Pad
Recorder
Reed Organ
Rhodes Piano
Rock Organ
Sawtooth Wave Lead
Shamisen
Shanai
Sitar
Slap Bass 1
Slap Bass 2
Soprano Sax
Square Wave Lead
String Ensemble 1
String Ensemble 2
Sweep Pad
Synth Bass 1
Synth Bass 2
Synth Brass 1
Synth Brass 2
Synth Strings 1
Synth Strings 2
Synth Voice
Tenor Sax
Tremolo Strings
Trombone
Trumpet
Tuba
Vibraphone
Viola
Violin
Voice Lead
Warm Pad
Xylophone
Acoustic Bass
Acoustic Grand Piano
Acoustic Nylon Guitar
Acoustic Steel Guitar
Alto Sax
Bagpipe
Banjo
Baritone Sax
Bass Lead
Bassoon
Bottle Blow
Bowed Pad
Brass Section
Bright Acoustic Piano
Calliope Lead
Cello
Charang Lead
Chiff Lead
Choir Pad
Chorused Piano
Church Organ
Clarinet
Clavinet
Contrabass
Distortion Guitar
Dulcimer
Electric Clean Guitar
Electric Grand Piano
Electric Jazz Guitar
Electric Muted Guitar
English Horn
Fiddle
Fingered Electric Bass
Flute
French Horn
Fretless Bass
Halo Pad
Hammond Organ
Harpsichord
Honky-tonk Piano
Kalimba
Koto
Marimba
Metallic Pad
Music Box
Muted Trumpet
New Age Pad
Oboe
Ocarina
Orchestral Harp
Overdriven Guitar
Pan Flute
Percussive Organ
Piccolo
Pizzicato Strings
Plucked Electric Bass
Polysynth Pad
Recorder
Reed Organ
Rhodes Piano
Rock Organ
Sawtooth Wave Lead
Shamisen
Shanai
Sitar
Slap Bass 1
Slap Bass 2
Soprano Sax
Square Wave Lead
String Ensemble 1
String Ensemble 2
Sweep Pad
Synth Bass 1
Synth Bass 2
Synth Brass 1
Synth Brass 2
Synth Strings 1
Synth Strings 2
Synth Voice
Tenor Sax
Tremolo Strings
Trombone
Trumpet
Tuba
Vibraphone
Viola
Violin
Voice Lead
Warm Pad
Xylophone
Acoustic Bass
Acoustic Grand Piano
Acoustic Nylon Guitar
Acoustic Steel Guitar
Alto Sax
Bagpipe
Banjo
Baritone Sax
Bass Lead
Bassoon
Bottle Blow
Bowed Pad
Brass Section
Bright Acoustic Piano
Calliope Lead
Cello
Charang Lead
Chiff Lead
Choir Pad
Chorused Piano
Church Organ
Clarinet
Clavinet
Contrabass
Distortion Guitar
Dulcimer
Electric Clean Guitar
Electric Grand Piano
Electric Jazz Guitar
Electric Muted Guitar
English Horn
Fiddle
Fingered Electric Bass
Flute
French Horn
Fretless Bass
Halo Pad
Hammond Organ
Harpsichord
Honky-tonk Piano
Kalimba
Koto
Marimba
Metallic Pad
Music Box
Muted Trumpet
New Age Pad
Oboe
Ocarina
Orchestral Harp
Overdriven Guitar
Pan Flute
Percussive Organ
Piccolo
Pizzicato Strings
Plucked Electric Bass
Polysynth Pad
Recorder
Reed Organ
Rhodes Piano
Rock Organ
Sawtooth Wave Lead
Shamisen
Shanai
Sitar
Slap Bass 1
Slap Bass 2
Soprano Sax
Square Wave Lead
String Ensemble 1
String Ensemble 2
Sweep Pad
Synth Bass 1
Synth Bass 2
Synth Brass 1
Synth Brass 2
Synth Strings 1
Synth Strings 2
Synth Voice
Tenor Sax
Tremolo Strings
Trombone
Trumpet
Tuba
Vibraphone
Viola
Violin
Voice Lead
Warm Pad
Xylophone
